Index,demand
0,0.05219194218274778
1,0.032585810085017375
2,0.026112535728580778
3,0.06224391900278531
4,0.07983847498472421
5,0.04084552079842558
6,0.032542301905500684
7,0.14573416289583954
8,0.031510371088616186
9,0.08408630028367339
10,0.039188740558954764
11,0.26127266613203654
12,0.22933366287666676
13,0.058234128239145075
14,0.14429177960378173
15,0.0980045367373891
16,0.1459546088924097
17,0.035396852069453984
18,0.11008340803861438
19,0.06306964111196742
20,0.021267708443583565
21,0.03480329273431265
22,0.12428273051391237
23,0.03241820711856151
24,0.486575194157422
25,0.15027620623917357
26,0.04600651647227781
27,0.09725861427472116
28,0.08472961531299068
29,0.027407223539603502
30,0.023538429972113785
31,0.048972034591717714
32,0.02711910676312523
33,0.10525615927118559
34,0.23011230403794614
35,0.48745577749683433
36,0.08427103013576853
37,0.04244304055815422
38,0.11606446428099282
39,0.1328618507868914
40,0.01049845326533096
41,0.016809623465007154
42,0.020709585461078435
43,0.05055674235004134
44,0.035418116198055176
45,0.07117643671901129
46,0.1048831107546162
47,0.4215657492653088
48,0.12440458501109244
49,0.15336511133726954
50,0.2701736407532177
51,0.09611805435983917
52,0.03129592551770377
53,0.18317781095686747
54,0.014988168365123396
55,0.059266125660387206
56,0.12456777317683711
57,0.04116225288060633
58,0.05237931701991156
59,0.03360393056782668
60,0.03090737976053733
61,0.09726276041980654
62,0.11091993462348805
63,0.07735889050616925
64,0.040052561791974146
65,0.39484654798736213
66,0.03782306423576191
67,0.05193059284400096
68,0.0657311741467443
69,0.07348097937999631
70,0.026752310175052273
71,0.041315465481919986
72,0.026127684606229877
73,0.039879466170327185
74,0.05245532036137741
75,0.027367412041772007
76,0.07465653280617277
77,0.11999283817188278
78,0.17335573095472373
79,0.10356599672131939
80,0.037458402327347096
81,0.01610275635857532
82,0.02095756036359709
83,0.06694645976382749
84,0.06899004370249513
85,0.06078123629950511
86,0.1586990685064304
87,0.4486024039285834
88,0.08768984189909061
89,0.03456817645261852
90,0.02729372075421896
91,0.06867239444763644
92,0.10054691727095669
93,0.14298677510240929
94,0.17422683538106085
95,0.024892131797682397
96,0.01906852931107405
97,0.0405832619204225
98,0.028197477157485093
99,0.02490002499307432
100,0.04269278966981939
101,0.035693057199861024
102,0.044800913428943934
103,0.14458037927768874
104,0.05805861349401821
105,0.04423136484171135
106,0.03346475625731145
107,0.1157354930186163
108,0.47345143496622943
109,0.06466961674266504
110,0.026277183397605312
111,0.019267290710558504
112,0.04235233879445462
113,0.05151504653969638
114,0.02118053549475912
115,0.12312057282082328
116,0.15112669003164547
117,0.1350399257340651
118,0.1196217597097484
119,0.05963389427875531
120,0.02592297612420526
121,0.03320547542615079
122,0.03577411239672806
123,0.047582661889232575
124,0.02102934228526783
125,0.04659389654474216
126,0.04738595206102387
127,0.22183872039512614
128,0.02079840081488517
129,0.03645056543671024
130,0.030411526114970944
131,0.018646603593205895
132,0.024278078175789725
133,0.027736815681447268
134,0.05397858979358078
135,0.029819681331375192
136,0.07392000785642217
137,0.12435973516505247
138,0.24901306224577013
139,0.04646595160639673
140,0.04714722893854007
141,0.09337692308830221
142,0.0873244836500553
143,0.01623492465760201
144,0.10667925031785164
145,0.026961891800353986
146,0.011151949444842659
147,0.034093978049312884
148,0.10787173724725962
149,0.02354931772772602
150,0.019492213555570237
151,0.03529269635191021
152,0.055128519862778655
153,0.06875697844881203
154,0.11939751021561931
155,0.08734584165501522
156,0.22448804838520284
157,0.07047797458600788
158,0.04452460930358654
159,0.0158877576556348
160,0.05043909461935566
161,0.05379043472082825
162,0.07830503851598869
163,0.039996707014179615
164,0.560160093445397
165,0.1416238706641768
166,0.03893463440591625
167,0.1248298622149929
168,0.06574187918201001
169,0.06277700364651828
170,0.017897822355688292
171,0.0299951162664696
172,0.017049591668844295
173,0.047612917340868935
174,0.020984578960211747
175,0.021494202533724496
176,0.06629237960463005
177,0.04770235682911101
178,0.073135800256463
179,0.06209310443757572
180,0.09982853773518098
181,0.22794913041709353
182,0.3913343713939481
183,0.05240717231224399
184,0.020657595188306836
185,0.07838210233235789
186,0.020518486564919693
187,0.057699423818802595
188,0.022659761853653988
189,0.04543909259000321
190,0.04491339966229314
191,0.15294935588345332
192,0.050193141332249266
193,0.12410454231524187
194,0.05270165655873612
195,0.07070248384773967
196,0.030065590633419813
197,0.024923925493137065
198,0.12455569397794627
199,0.04624601872592811
200,0.07673279593729254
201,0.03620882714979292
202,0.02014857026906261
203,0.04210113597524156
204,0.02283618674771382
205,0.055250369857051396
206,0.07371884513450275
207,0.12259441172218671
208,0.11328809269004327
209,0.1451592257224785
210,0.10385882629421364
211,0.09434613254720808
212,0.0270463107264206
213,0.08805829142708663
214,0.05703521628517966
215,0.01572629970219505
216,0.03408220800302491
217,0.10139275912358171
218,0.06798411493461481
219,0.029736207705234764
220,0.058681824425941456
221,0.03214344105120319
222,0.023418874073061584
223,0.0668092026682376
224,0.10948454048351118
225,0.04274463198274467
226,0.07565240221510092
227,0.022076335056080486
228,0.03120540662167565
229,0.04717235122504281
230,0.04203030740315543
231,0.0634947697193106
232,0.06483501931270992
233,0.12538813683035113
234,0.26250324444024187
235,0.10526881369922939
236,0.10906008561906971
237,0.05931901644165664
238,0.07052317684730466
239,0.0749625344527586
240,0.09119191948262084
241,0.06543849295090061
242,0.03716585853332217
243,0.25907666303538146
244,0.07035717230200557
245,0.10948828167521304
246,0.05261240479864515
247,0.11236582542104606
248,0.02716497173031623
249,0.04352862591487735
250,0.024735084207018337
251,0.024715170140808904
252,0.033002326051937786
253,0.027509477096487916
254,0.09565662125092747
255,0.062093379326381766
256,0.04824620356737902
257,0.10353826102108289
258,0.5176646353000709
259,0.07615897338207979
260,0.015690716819417562
261,0.22650301605593304
262,0.06294346541137226
263,0.3680706044981585
264,0.14676592093263796
265,0.07481772046682997
266,0.03770514735124786
267,0.05207988540833946
268,0.03049123863718134
269,0.09804042010994007
270,0.24176604299239274
271,0.06168243891621346
272,0.38056993807310663
273,0.12255779850877001
274,0.0821391748337627
275,0.01344408794385768
276,0.02472522756958256
277,0.05302212923882712
278,0.07249305005439208
279,0.017280389076331157
280,0.1274340891424155
281,0.23795626134381842
282,0.10586135896119084
283,0.06319568986306687
284,0.026293050187158162
285,0.11760121884990556
286,0.1629508417168724
287,0.25072404187292613
288,0.07006201169859072
289,0.06679252115730006
290,0.029559926106511807
291,0.04250001332513258
